"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ALCAM",234.617008983088,-0.00305325081783645,0.0475024823616219,0.75858163498539,0.98199427166359
"ALDH1A2",280.797970399043,0.000633720815947075,0.0477874673663804,0.941264763834122,0.990827784302068
"ALDH1L1",17.3341578616608,-0.000485430754746757,0.0482890742338161,0.914127897816182,0.989790280829908
"ALDH2",8.8817064074081,-0.000530784850030756,0.0483012270738578,0.898932268379128,0.988007888429057
"ALDH5A1",78.3302961840903,-0.00244871434294455,0.0483428710280748,0.597960151093463,0.966100407882324
"ALDH7A1",46.7634546568035,-0.000408186893637558,0.04812248555306,0.942206488142041,0.990827784302068
"ALDH9A1",54.0796975170597,0.00564357902240871,0.0487657237638877,0.201707574263968,0.877421141180849
"ALG13",114.124061225045,0.00890981659248754,0.0489126605300286,0.291818983703143,0.905210186397514
"ALG14",46.8142851951,0.00595932730174786,0.0486863378346645,0.301469611145434,0.907282629979394
"ALG8",45.7211300590066,-0.0108431667492765,0.0500371269317405,0.0357570245099839,0.679410054177248
"ALG9",46.0838002192077,-0.00671834435855826,0.0488401447139572,0.234264990887158,0.879993757807423
"ALK",181.012670092021,-0.0198788728058856,0.0542414270743196,0.00588580099243937,0.447746355015207
"ALKBH8",98.2095791901454,0.00282524218376551,0.0482302008030511,0.636805711914819,0.971550753958962
"ALMS1",224.393949978265,-0.00355135666780541,0.0481295245374513,0.62105446586467,0.970824974698301
"ALOX5",8.90279609597096,-0.00311790237292165,0.0484329780239552,0.470991128028546,0.954127310096433
"ALPK1",73.4288251605559,-0.0144090083269034,0.0513275299284644,0.0209106471321716,0.602875917774117
"ALPK2",16.7728608877845,0.0012145892506019,0.0481734426482256,0.829313592482422,0.985858007379432
"ALPK3",14.0177719770169,-0.00535589429368724,0.0487082866598076,0.235143446523361,0.88060244445344
"ALS2",84.113104870749,-0.000527654223223131,0.0479050165569484,0.941796344018891,0.990827784302068
"ALS2CR11",111.411509052266,0.00675099765560733,0.0486468023321453,0.339386912112052,0.909507701239352
"ALS2CR12",131.223394074531,-0.00636956272910529,0.0486318405397082,0.337411550312828,0.909507701239352
"ALS2CR8",38.9524564954396,0.00428292944101,0.0483577126311673,0.490560999436394,0.960125791210479
"AMBRA1",127.620114788957,-0.00775651298421331,0.0488512587103953,0.280486705350372,0.902984495423513
"AMFR",35.2112251825506,-0.00290935896768767,0.0483365343521862,0.567146599751905,0.962843297551762
"AMMECR1",66.2587193392814,-0.00877564806963209,0.0492823197178795,0.141767445268167,0.844452499455854
"AMN1",65.918991090693,-0.00931397837637143,0.0495466880082556,0.0727756115508899,0.754524156539111
"AMOTL1",29.3535520380056,-0.00150811711129174,0.0483552772415627,0.694291115925858,0.979381316738632
"AMPD3",111.456139762909,-0.00175449052216481,0.0481314757595981,0.772472779586024,0.98199427166359
"AMPH",186.589595758571,-0.00168760798643616,0.0476127168588876,0.853996214821931,0.985858007379432
"AMY2B",118.642269149672,0.00219191075365983,0.0482436915645258,0.690271788319099,0.979381316738632
"ANAPC1",29.8913409127973,0.00498553874670836,0.0484931019912116,0.403224453739093,0.932951557617242
"ANAPC10",82.1397791884331,-0.0148372167954168,0.0515840068765245,0.0123678541838686,0.535715722907704
"ANAPC16",43.7803347641507,0.00456336157824531,0.048429731355148,0.444456460580238,0.950416103944257
"ANAPC5",106.984462330782,0.00325601415581838,0.0484203440267239,0.481065011548009,0.958504147305405
"ANAPC7",98.6913241001827,-0.000886664073236492,0.0480990078854304,0.884224626946742,0.988007888429057
"ANGEL1",61.4486469447474,0.00450695144649957,0.0484786491859274,0.414049159994534,0.937572672000897
